Time,Queue 0,Queue 1,Queue 2,Queue 3,Queue Fin,Demand Queue,Machine 0 Busy,Machine 1 Busy,Machine 2 Busy,Machine 3 Busy,Machine 0 TimeRemaining,Machine 1 TimeRemaining,Machine 2 TimeRemaining,Machine 3 TimeRemaining,Action M0,Action M1,Action M2,Action M3
227,112,1,2,0,20,122,1,1,1,0,10,2,5,0,False,True,False,False
228,112,1,2,0,20,122,1,1,1,0,9,1,4,0,False,False,False,False
229,112,1,3,0,20,122,1,0,1,0,8,0,3,0,False,False,False,False
230,112,0,3,0,20,122,1,1,1,0,7,2,2,0,False,True,False,False
231,112,0,3,0,20,122,1,1,1,0,6,1,1,0,False,False,False,False
232,112,0,4,4,20,122,1,0,0,0,5,0,0,0,False,False,False,False
233,112,0,0,3,20,122,1,0,1,1,4,0,16,2,False,False,True,True
234,112,0,0,3,20,122,1,0,1,1,3,0,15,1,False,False,False,False
235,112,0,0,3,20,121,1,0,1,0,2,0,14,0,False,False,False,False
236,112,0,0,2,20,121,1,0,1,1,1,0,13,2,False,False,False,True
237,112,4,0,2,20,121,0,0,1,1,0,0,12,1,False,False,False,False
238,108,3,0,2,20,120,1,1,1,0,16,2,11,0,True,True,False,False
239,108,3,0,1,20,120,1,1,1,1,15,1,10,2,False,False,False,True
240,108,3,1,1,20,120,1,0,1,1,14,0,9,1,False,False,False,False
241,108,2,1,1,20,119,1,1,1,0,13,2,8,0,False,True,False,False
242,108,2,1,0,20,119,1,1,1,1,12,1,7,2,False,False,False,True
243,108,2,2,0,20,119,1,0,1,1,11,0,6,1,False,False,False,False
244,108,1,2,0,20,118,1,1,1,0,10,2,5,0,False,True,False,False
245,108,1,2,0,20,118,1,1,1,0,9,1,4,0,False,False,False,False
246,108,1,3,0,20,118,1,0,1,0,8,0,3,0,False,False,False,False
247,108,0,3,0,20,118,1,1,1,0,7,2,2,0,False,True,False,False
248,108,0,3,0,20,118,1,1,1,0,6,1,1,0,False,False,False,False
249,108,0,4,4,20,118,1,0,0,0,5,0,0,0,False,False,False,False
250,108,0,0,3,20,118,1,0,1,1,4,0,16,2,False,False,True,True
251,108,0,0,3,20,118,1,0,1,1,3,0,15,1,False,False,False,False
252,108,0,0,3,20,117,1,0,1,0,2,0,14,0,False,False,False,False
253,108,0,0,2,20,117,1,0,1,1,1,0,13,2,False,False,False,True
254,108,4,0,2,20,117,0,0,1,1,0,0,12,1,False,False,False,False
255,104,3,0,2,20,116,1,1,1,0,16,2,11,0,True,True,False,False
256,104,3,0,1,20,116,1,1,1,1,15,1,10,2,False,False,False,True
257,104,3,1,1,20,116,1,0,1,1,14,0,9,1,False,False,False,False
258,104,2,1,1,20,115,1,1,1,0,13,2,8,0,False,True,False,False
259,104,2,1,0,20,115,1,1,1,1,12,1,7,2,False,False,False,True
260,104,2,2,0,20,115,1,0,1,1,11,0,6,1,False,False,False,False
261,104,1,2,0,20,114,1,1,1,0,10,2,5,0,False,True,False,False
262,104,1,2,0,20,114,1,1,1,0,9,1,4,0,False,False,False,False
263,104,1,3,0,20,114,1,0,1,0,8,0,3,0,False,False,False,False
264,104,0,3,0,20,114,1,1,1,0,7,2,2,0,False,True,False,False
265,104,0,3,0,20,114,1,1,1,0,6,1,1,0,False,False,False,False
266,104,0,4,4,20,114,1,0,0,0,5,0,0,0,False,False,False,False
267,104,0,0,3,20,114,1,0,1,1,4,0,16,2,False,False,True,True
268,104,0,0,3,20,114,1,0,1,1,3,0,15,1,False,False,False,False
269,104,0,0,3,20,113,1,0,1,0,2,0,14,0,False,False,False,False
270,104,0,0,2,20,113,1,0,1,1,1,0,13,2,False,False,False,True
271,104,4,0,2,20,113,0,0,1,1,0,0,12,1,False,False,False,False
272,100,3,0,2,20,112,1,1,1,0,16,2,11,0,True,True,False,False
273,100,3,0,1,20,112,1,1,1,1,15,1,10,2,False,False,False,True
274,100,3,1,1,20,112,1,0,1,1,14,0,9,1,False,False,False,False
275,100,2,1,1,20,111,1,1,1,0,13,2,8,0,False,True,False,False
276,100,2,1,0,20,111,1,1,1,1,12,1,7,2,False,False,False,True
277,100,2,2,0,20,111,1,0,1,1,11,0,6,1,False,False,False,False
278,100,1,2,0,20,110,1,1,1,0,10,2,5,0,False,True,False,False
279,100,1,2,0,20,110,1,1,1,0,9,1,4,0,False,False,False,False
280,100,1,3,0,20,110,1,0,1,0,8,0,3,0,False,False,False,False
281,100,0,3,0,20,110,1,1,1,0,7,2,2,0,False,True,False,False
282,100,0,3,0,20,110,1,1,1,0,6,1,1,0,False,False,False,False
283,100,0,4,4,20,110,1,0,0,0,5,0,0,0,False,False,False,False
284,100,0,0,3,20,110,1,0,1,1,4,0,16,2,False,False,True,True
285,100,0,0,3,20,110,1,0,1,1,3,0,15,1,False,False,False,False
286,100,0,0,3,20,109,1,0,1,0,2,0,14,0,False,False,False,False
287,100,0,0,2,20,109,1,0,1,1,1,0,13,2,False,False,False,True
288,100,4,0,2,20,109,0,0,1,1,0,0,12,1,False,False,False,False
289,96,3,0,2,20,108,1,1,1,0,16,2,11,0,True,True,False,False
290,96,3,0,1,20,108,1,1,1,1,15,1,10,2,False,False,False,True
291,96,3,1,1,20,108,1,0,1,1,14,0,9,1,False,False,False,False
292,96,2,1,1,20,107,1,1,1,0,13,2,8,0,False,True,False,False
293,96,2,1,0,20,107,1,1,1,1,12,1,7,2,False,False,False,True
294,96,2,2,0,20,107,1,0,1,1,11,0,6,1,False,False,False,False
295,96,1,2,0,20,106,1,1,1,0,10,2,5,0,False,True,False,False
296,96,1,2,0,20,106,1,1,1,0,9,1,4,0,False,False,False,False
297,96,1,3,0,20,106,1,0,1,0,8,0,3,0,False,False,False,False
298,96,0,3,0,20,106,1,1,1,0,7,2,2,0,False,True,False,False
299,96,0,3,0,20,106,1,1,1,0,6,1,1,0,False,False,False,False
300,96,0,4,4,20,106,1,0,0,0,5,0,0,0,False,False,False,False
301,96,0,0,3,20,106,1,0,1,1,4,0,16,2,False,False,True,True
302,96,0,0,3,20,106,1,0,1,1,3,0,15,1,False,False,False,False
303,96,0,0,3,20,105,1,0,1,0,2,0,14,0,False,False,False,False
304,96,0,0,2,20,105,1,0,1,1,1,0,13,2,False,False,False,True
305,96,4,0,2,20,105,0,0,1,1,0,0,12,1,False,False,False,False
306,92,3,0,2,20,104,1,1,1,0,16,2,11,0,True,True,False,False
307,92,3,0,1,20,104,1,1,1,1,15,1,10,2,False,False,False,True
308,92,3,1,1,20,104,1,0,1,1,14,0,9,1,False,False,False,False
309,92,2,1,1,20,103,1,1,1,0,13,2,8,0,False,True,False,False
310,92,2,1,0,20,103,1,1,1,1,12,1,7,2,False,False,False,True
311,92,2,2,0,20,103,1,0,1,1,11,0,6,1,False,False,False,False
312,92,1,2,0,20,102,1,1,1,0,10,2,5,0,False,True,False,False
313,92,1,2,0,20,102,1,1,1,0,9,1,4,0,False,False,False,False
314,92,1,3,0,20,102,1,0,1,0,8,0,3,0,False,False,False,False
315,92,0,3,0,20,102,1,1,1,0,7,2,2,0,False,True,False,False
316,92,0,3,0,20,102,1,1,1,0,6,1,1,0,False,False,False,False
317,92,0,4,4,20,102,1,0,0,0,5,0,0,0,False,False,False,False
318,92,0,0,3,20,102,1,0,1,1,4,0,16,2,False,False,True,True
319,92,0,0,3,20,102,1,0,1,1,3,0,15,1,False,False,False,False
320,92,0,0,3,20,101,1,0,1,0,2,0,14,0,False,False,False,False
321,92,0,0,2,20,101,1,0,1,1,1,0,13,2,False,False,False,True
322,92,4,0,2,20,101,0,0,1,1,0,0,12,1,False,False,False,False
323,88,3,0,2,20,100,1,1,1,0,16,2,11,0,True,True,False,False
324,88,3,0,1,20,100,1,1,1,1,15,1,10,2,False,False,False,True
325,88,3,1,1,20,100,1,0,1,1,14,0,9,1,False,False,False,False
326,88,2,1,1,20,99,1,1,1,0,13,2,8,0,False,True,False,False
327,88,2,1,0,20,99,1,1,1,1,12,1,7,2,False,False,False,True
328,88,2,2,0,20,99,1,0,1,1,11,0,6,1,False,False,False,False
329,88,1,2,0,20,98,1,1,1,0,10,2,5,0,False,True,False,False
